"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Academic degree","Status","Start year","End year","employee_education_VFLD3","Area Of Studies","Area of emphasis","employee_education_VFLD5","Country of study","Institution","Title earned"
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S",,,,"2000005577",,,"2000005577","COLOMBIA",,"INGENIERIA AERONAUTICA"
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)",,,,"2000005577",,,"2000005577","COLOMBIA",,"ESPECIALIZACION EN GERENCIA DE PROYECTOS"
"2000005578","COORDINADOR(A) RIO GRANDE","FUNDACION GRUPO ARGOS (GRA-CO05)","SPECIALIZATION (COL)",,,,"2000005578",,,"2000005578","COLOMBIA","Universidad CES",
"2000005580","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005580",,,"2000005580",,,
"2000005581","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005581",,,"2000005581",,,
"2000005582","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005582",,,"2000005582",,,
"2000005585","GERENTE","SATOR S.A.S (GRA-CO03)","MASTER'S","GRADUATED","2009","2011","2000005585","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005585","COLOMBIA",,"MAESTRIA EN ADMINISTRACION -MBA"
"2000005585","GERENTE","SATOR S.A.S (GRA-CO03)","BACHELOR'S","GRADUATED","1994","2000","2000005585","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005585","COLOMBIA",,"NEGOCIOS INTERNACIONALES"
"2000005585","GERENTE","SATOR S.A.S (GRA-CO03)","SPECIALIZATION (COL)","GRADUATED","2013","2015","2000005585","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005585","COLOMBIA",,
"2000005585","GERENTE","SATOR S.A.S (GRA-CO03)","HIGH SCHOOL","GRADUATED","1982","1993","2000005585","N/D",,"2000005585","COLOMBIA",,"BACHILLERATO"
"2000005587","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005587",,,"2000005587",,,
"2000005593","DIRECCION LEGAL CORPORATIVA","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)","GRADUATED","2017","2018","2000005593","ARCHITECTURE, URBANISM",,"2000005593","COLOMBIA",,"ESPECIALIZACION EN DERECHO URBANO"
"2000005593","DIRECCION LEGAL CORPORATIVA","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)","GRADUATED","2012","2013","2000005593","SOCIAL SCIENCES",,"2000005593","COLOMBIA","Universidad Externado de Colombia","ESPECIALIZACION EN DERECHO CONTRACTUAL Y RELACIONES JURIDICO NEGOCIALES"
"2000005593","DIRECCION LEGAL CORPORATIVA","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","2005","2010","2000005593","SOCIAL SCIENCES",,"2000005593","COLOMBIA","Universidad del Norte","DERECHO"
